Original number scheme,Date,Site,Hydrology,Road,Mean_AIR_TEMP (C ),Soil_pH,Moisture,ugNH4/gDM,ugNO3/gDM,Soil_C_wt_%,Soil_N_wt_%,C/N_Ratio,denitrification,nitrification,Nmineralization
1,7/27/2017,Ag,wet,near,26.66,5.49,0.163207163,0.674845502,44.6522774,4.2,0.19,22.10526316,12.67,5.502,0.093971993
2,7/27/2017,Ag,wet,far,26.66,5.8,0.166237587,0.823105598,3.703975192,5.02,0.25,20.08,31.55,5.551,1.214358143
3,7/27/2017,Ag,dry,near,26.66,5.88,0.111513396,0.782963042,4.474074524,3.97,0.22,18.04545455,27.01,5.435,0.733783302
4,7/27/2017,Ag,dry,far,26.66,5.83,0.116921769,0.563639255,2.408276818,2.44,0.13,18.76923077,0.79,4.25,0.731294673
5,7/27/2017,Ag,wet,near,26.66,5.69,0.119292472,0.836941565,11.38240529,3.6,0.22,16.36363636,62.81,9.508,0.636884173
6,7/27/2017,Ag,wet,far,26.66,5.6,0.130536131,0.528190149,2.112760595,3.73,0.22,16.95454545,181.13,6.134,0.638051515
7,7/27/2017,Ag,dry,near,26.66,5.61,0.120199693,0.519598429,3.117590573,3.13,0.18,17.38888889,111.1,7.109,1.653652414
8,7/27/2017,Ag,dry,far,26.66,5.68,0.138461538,0.515236921,4.007398272,2.25,0.13,17.30769231,13.55,4.756,0.331680224
9,7/27/2017,Ag,wet,near,26.66,5.88,0.110105581,0.656991268,4.325192512,4.37,0.25,17.48,102.92,5.571,1.845516408
10,7/27/2017,Ag,dry,far,26.66,5.68,0.110255371,2.312367168,41.51505706,2.87,0.17,16.88235294,8.72,5.052,0.398971309
11,7/27/2017,Ag,wet,near,26.66,5.62,0.12100639,0.674556035,24.07646157,2.66,0.16,16.625,-0.34,4.778,0.333384566
12,7/27/2017,Ag,dry,far,26.66,5.8,0.111153119,0.637574405,5.366251242,2.72,0.15,18.13333333,104.17,4.528,0.69884057
1,7/27/2017,MSM,dry,NA,26.66,5.02,0.513503233,6.448665469,0.604562388,7.8,0.61,12.78688525,27.04,1.319,4.748204936
2,7/27/2017,MSM,wet,NA,26.66,5.38,0.498815166,14.08427201,0.56337088,5.24,0.3,17.46666667,109.11,0.512,1.001415221
3,7/27/2017,MSM,wet,NA,26.66,5.86,0.470504229,18.345059,0.519199783,6.63,0.32,20.71875,171.73,-0.164,0.293229575
4,7/27/2017,MSM,dry,NA,26.66,4.4,0.44707624,1.93617943,2.112195742,5.52,0.33,16.72727273,38.04,1.416,0.75441535
5,7/27/2017,MSM,dry,NA,26.66,5.1,0.409568261,2.750749702,0.628742789,4.39,0.22,19.95454545,19.28,0.261,2.021111031
6,7/27/2017,MSM,dry,NA,26.66,5.18,0.353823637,1.497040018,1.871300023,4.33,0.23,18.82608696,540.08,1.122,2.359616214
7,7/27/2017,MSM,dry,NA,26.66,4.89,0.42412298,1.622880245,1.298304196,5.65,0.33,17.12121212,158.17,0.359,1.683663446
8,7/27/2017,MSM,wet,NA,26.66,5.67,0.308602999,12.10895189,0.470903685,2.88,0.11,26.18181818,98.18,-0.058,0.348059718
9,7/27/2017,MSM,wet,NA,26.66,5.66,0.432971014,22.91077132,0.55111821,3.93,0.19,20.68421053,87.66,0.529,0.239792658
