	Final Conc. N2O ppm-v at each time point (hr)	0.083	1	2	3	ppm-m (ug/mL) in 61 mL				ug/mL in 10 mL				ug N2O accounting for sampling						GRAPH		
	Sample ID	HR 0	HR 1	HR 2	HR 3	HR 0	HR 1	HR 2	HR 3	HR 0	HR 1	HR 2	HR 3	HR 0	HR 1	HR 2	HR 3	Slope-denitrification rate 	Denitrification rate	Denitrification rate	dry mass (g)	Denitrification rate
		ppm-v	ppm-v	ppm-v	ppm-v	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N2O	ug N20  hr-1	ng N2O hr-1	ng N2O g-1 DM hr-1		ng N2O g DM-1 day-1
+	Ag1	3.877384	4.533614		6.239642	0.43	0.5	0	0.69	0.07	0.08	0	0.11	0.43	0.57	0.15	0.84	0.09	85	4	19.43735764	105.48
+	Ag2		3.518373	5.625557	16.97873	0	0.39	0.62	1.88	0	0.06	0.1	0.31	0	0.39	0.69	2.05	0.66	664	35	18.81796906	846.73
+	Ag3		5.420357	7.616148	20.172229	0	0.6	0.84	2.24	0	0.1	0.14	0.37	0	0.6	0.94	2.47	0.8	799	41	19.39596713	988.29
+	Ag4		3.257964	3.680193	11.002745	0	0.36	0.41	1.22	0	0.06	0.07	0.2	0	0.36	0.47	1.35	0.43	426	22	19.15808458	533.99
+	Ag5	2.169179	3.544106	5.059755	9.422063	0.24	0.39	0.56	1.04	0.04	0.06	0.09	0.17	0.24	0.43	0.66	1.24	0.33	333	15	21.98819475	363.28
+	Ag6	2.064338	3.224732		5.924037	0.23	0.36	0	0.66	0.04	0.06	0	0.11	0.23	0.4	0.1	0.75	0.13	131	7	19.14738134	164.77
+	Ag7		2.016591	6.500369	26.990613	0	0.22	0.72	2.99	0	0.04	0.12	0.49	0	0.22	0.76	3.15	1.03	1031	54	19.04629365	1299.08
+	Ag8	3.733721		11.145967	17.469211	0.41	0	1.24	1.94	0.07	0	0.2	0.32	0.41	0.07	1.3	2.21	0.69	685	34	20.09240049	818.77
+	Ag9	1.828109	3.798289	6.433828	12.095523	0.2	0.42	0.71	1.34	0.03	0.07	0.12	0.22	0.2	0.45	0.82	1.56	0.46	457	22	20.41615895	536.68
+	Ag10	1.424737	4.184191	9.066286	19.912215	0.16	0.46	1.01	2.21	0.03	0.08	0.16	0.36	0.16	0.49	1.11	2.48	0.78	780	37	20.81948759	899.11
+	Ag11		4.741234	9.311467	23.960981	0	0.53	1.03	2.66	0	0.09	0.17	0.44	0	0.53	1.12	2.91	0.96	961	51	18.83943039	1224.33
+	Ag12		3.818534	6.436337	17.691413	0	0.42	0.71	1.96	0	0.07	0.12	0.32	0	0.42	0.78	2.15	0.7	701	37	19.03190367	883.65
+	Control A +	1.275586	1.923005	2.355484		0.14	0.21	0.26	0	0.02	0.03	0.04	0	0.14	0.24	0.32	0.1	-0.01	-5	0	25	-4.86
+	MI9-1	3.134941	4.218633	5.144223	6.751012	0.35	0.47	0.57	0.75	0.06	0.08	0.09	0.12	0.35	0.52	0.7	0.98	0.21	212	13	16.13658353	315.18
