DATE	ID	Weight Nitrif (g)	Weight Nitrif (g)	Weight Nitrif (g)	Sample Moisture %	DM Wt Sample A	DM Wt Sample B	DM Wt Sample C	Nitrification a	Nitrification b	Nitrification c	ug NO2- mL-1	ug NO2- mL-1	ug NO2- mL-1	Sample A Nitrogen	Sample B Nitrogen	Sample C Nitrogen	Avg_Incubation N/DM	Control N/ DM	Avg assay NO2	Nitrification Potential
(field)		sample a	sample b	sample c	%	g	g	g	520 nm reading	520 nm reading	520 nm reading	sample a	sample b	sample c	content (mg)	content (mg)	content (mg)	mg_N/g DM	mg_N/g DM	mg_N/g DM	ng N*g-1 dm*5 h-1
9/27/2017	Ag1	5.32	5.25	5.38	0.23206602	4.0854	4.0317	4.1315	0.242	0.242	0.063	0.137	0.137	0.018	1.37E-04	1.37E-04	1.82E-05	3.38E-05	4.40E-06	2.94E-05	5.884
9/27/2017	Ag2	5.09	5.15	5.04	0.248996572	3.8226	3.8677	3.7851	0.239	0.25	0.065	0.135	0.143	0.019	1.35E-04	1.43E-04	1.95E-05	3.61E-05	5.15E-06	3.10E-05	6.194
9/27/2017	Ag3	5.31	5.04	5.13	0.172866488	4.3921	4.1688	4.2432	0.249	0.265	0.066	0.142	0.153	0.02	1.42E-04	1.53E-04	2.02E-05	3.45E-05	4.75E-06	2.97E-05	5.94
9/27/2017	Ag4	5.1	5.36	5.24	0.172110309	4.2222	4.4375	4.3381	0.21	0.235	0.066	0.116	0.133	0.02	1.16E-04	1.33E-04	2.02E-05	2.87E-05	4.65E-06	2.40E-05	4.805
9/27/2017	Ag5	5.4	5.31	5.15	0.166550621	4.5006	4.4256	4.2923	0.377	0.431	0.079	0.227	0.263	0.029	2.27E-04	2.63E-04	2.88E-05	5.49E-05	6.71E-06	4.82E-05	9.645
9/27/2017	Ag6	5.3	5.37	5.04	0.194503974	4.2691	4.3255	4.0597	0.275	0.261	0.061	0.159	0.15	0.017	1.59E-04	1.50E-04	1.68E-05	3.60E-05	4.15E-06	3.18E-05	6.365
9/27/2017	Ag7	5.25	5.2	5.11	0.148999958	4.4678	4.4252	4.3486	0.299	0.298	0.068	0.175	0.174	0.021	1.75E-04	1.75E-04	2.15E-05	3.93E-05	4.94E-06	3.44E-05	6.875
9/27/2017	Ag8	5.11	5.13	5.18	0.152309306	4.3317	4.3487	4.391	0.23	0.237	0.067	0.129	0.134	0.021	1.29E-04	1.34E-04	2.08E-05	3.03E-05	4.74E-06	2.56E-05	5.115
9/27/2017	Ag9	5.2	5.11	5.03	0.227506766	4.017	3.9474	3.8856	0.257	0.261	0.068	0.147	0.15	0.021	1.47E-04	1.50E-04	2.15E-05	3.73E-05	5.53E-06	3.18E-05	6.356
9/27/2017	Ag10	5	5.11	5	0.132409872	4.338	4.4334	4.338	0.241	0.233	0.069	0.137	0.131	0.022	1.37E-04	1.31E-04	2.22E-05	3.05E-05	5.11E-06	2.54E-05	5.088
