,Tin weight,Tin + field,Tin + dry,,,,% Moisture,Acetylene + set,Acetylene - set,A + Dry mass,A - Dry mass
Ag1,2.21,26.78,22.77,24.57,20.56,0.836792837,0.163207163,25.71,25.65,21.51394383,21.46373626
Ag2,2.23,29.42,24.90,27.19,22.67,0.833762413,0.166237587,26.61,25.4,22.1864178,21.17756528
Ag3,2.18,29.80,26.72,27.62,24.54,0.888486604,0.111513396,25.28,25.33,22.46094135,22.50536568
Ag4,2.21,25.73,22.98,23.52,20.77,0.883078231,0.116921769,25.25,26.83,22.29772534,23.69298895
Ag5,2.23,26.54,23.64,24.31,21.41,0.880707528,0.119292472,26.56,26.1,23.39159194,22.98646647
Ag6,2.21,27.95,24.59,25.74,22.38,0.869463869,0.130536131,25.44,25.96,22.11916084,22.57128205
Ag7,2.20,28.24,25.11,26.04,22.91,0.879800307,0.120199693,25.33,26.68,22.28534178,23.4730722
Ag8,2.19,28.84,25.15,26.65,22.96,0.861538462,0.138461538,26.38,25.21,22.72738462,21.71938462
Ag9,2.21,28.73,25.81,26.52,23.60,0.889894419,0.110105581,25.44,25.32,22.63891403,22.5321267
Ag10,2.23,26.90,24.18,24.67,21.95,0.889744629,0.110255371,26.59,26.61,23.65830969,23.67610458
Ag11,2.23,27.27,24.24,25.04,22.01,0.87899361,0.12100639,25.53,26.67,22.44070687,23.44275958
Ag12,2.20,28.65,25.71,26.45,23.51,0.888846881,0.111153119,25.78,25.02,22.91447259,22.23894896
MI9-1,2.22,28.51,15.01,26.29,12.79,0.486496767,0.513503233,25.58,25.56,12.4445873,12.43485736
MI9-2,2.22,27.54,14.91,25.32,12.69,0.501184834,0.498815166,25.49,25.25,12.77520142,12.65491706
MI9-3,2.21,29.52,16.67,27.31,14.46,0.529495771,0.470504229,25.26,26.44,13.37506317,13.99986818
MI9-4,2.22,29.24,17.16,27.02,14.94,0.55292376,0.44707624,25.43,25.76,14.06085122,14.24331606
MI9-5,2.22,27.93,17.40,25.71,15.18,0.590431739,0.409568261,25.22,27,14.89068845,15.94165694
MI9-6,2.20,29.53,19.86,27.33,17.66,0.646176363,0.353823637,25.26,25.46,16.32241493,16.4516502
MI9-7,2.20,27.57,16.81,25.37,14.61,0.57587702,0.42412298,25.06,25.23,14.43147812,14.52937722
MI9-8,2.22,27.56,19.74,25.34,17.52,0.691397001,0.308602999,25.5,25.91,17.63062352,17.91409629
MI9-9,2.21,29.81,17.86,27.60,15.65,0.567028986,0.432971014,25.05,25.68,14.20407609,14.56130435
MI9-10,2.23,27.80,18.53,25.57,16.30,0.63746578,0.36253422,26.8,26.38,17.08408291,16.81634728
MI9-11,2.21,27.85,17.55,25.64,15.34,0.598283931,0.401716069,26.44,24.49,15.81862715,14.65197348
MI9-12,2.20,27.83,15.05,25.63,12.85,0.501365587,0.498634413,25.51,25.22,12.78983613,12.64444011
