Storm ID,NUT_DATE/TIME_1,TDN_1,DON,NH4_1,DOC_1,NO3_1,HDO_mg/l,pH_units,Hobo_Date/Time,HoboTEMP_1,ADJ WL (m) _1,Rain_Date/Time,CUM_RAIN_1
1,8/7/2016 15:59,2.203901727,1.297430582,0.768948703,28.29716293,0.137522442,3.66,6.88,8/7/2016 16:00,29.552,1.165,8/7/2016 16:15,0
1,8/7/2016 16:29,2.167298259,1.330120818,0.72927798,27.97852068,0.107899461,3.1,6.79,8/7/2016 16:15,29.652,1.159,8/7/2016 16:30,0.2286
1,8/7/2016 16:59,2.209242404,1.357258475,0.756651793,28.06008082,0.095332136,2.71,6.87,8/7/2016 16:30,29.752,1.161,8/7/2016 16:45,1.4732
1,8/7/2016 17:29,2.275079142,1.300614571,0.874644104,29.43487728,0.099820467,2.68,6.8,8/7/2016 16:45,30.054,1.16,8/7/2016 17:00,1.9304
1,8/7/2016 17:59,2.229659287,1.200160366,0.801312206,31.16328542,0.228186715,2.63,6.77,8/7/2016 17:00,30.154,1.179,8/7/2016 17:15,3.4544
1,8/7/2016 18:29,2.211274622,1.260355489,0.791852706,29.44444379,0.159066427,2.24,6.74,8/7/2016 17:15,30.457,1.184,8/7/2016 17:30,3.9624
1,8/7/2016 18:59,2.150651815,1.267501124,0.768967567,28.07674286,0.114183124,2.19,6.74,8/7/2016 17:30,30.457,1.211,8/7/2016 17:45,4.0132
1,8/7/2016 19:29,2.206407631,1.252317885,0.831827628,27.0805765,0.122262118,1.95,6.71,8/7/2016 17:45,30.356,1.215,8/7/2016 18:00,4.0132
1,8/7/2016 19:59,2.195428406,1.268816105,0.842052157,28.23759135,0.084560144,1.83,6.73,8/7/2016 18:00,30.255,1.216,8/7/2016 18:15,4.0386
1,8/7/2016 20:29,2.169143484,1.248207306,0.836376034,27.82278534,0.084560144,1.68,6.72,8/7/2016 18:15,30.255,1.215,8/7/2016 18:30,4.064
1,8/7/2016 20:59,2.179117651,1.257570357,0.83698715,27.96224296,0.084560144,1.45,6.73,8/7/2016 18:30,30.255,1.217,8/7/2016 18:45,4.064
1,8/7/2016 21:29,2.183525204,1.245042965,0.853922095,28.16426938,0.084560144,0.98,6.74,8/7/2016 18:45,30.154,1.219,8/7/2016 19:00,4.0894
1,8/7/2016 21:59,2.152133191,1.254934177,0.81263887,27.59549362,0.084560144,0.76,6.73,8/7/2016 19:00,30.154,1.218,8/7/2016 19:15,4.0894
1,8/7/2016 22:29,2.148142857,1.254640401,0.799067986,27.48657422,0.09443447,0.78,6.76,8/7/2016 19:15,30.054,1.22,8/7/2016 19:30,4.0894
1,8/7/2016 22:59,2.11664001,1.238756989,0.793322877,27.50942011,0.084560144,0.45,6.7,8/7/2016 19:30,29.953,1.22,8/7/2016 19:45,4.0894
1,8/7/2016 23:29,2.06334606,1.240276165,0.700807777,27.16946673,0.122262118,0.16,6.65,8/7/2016 19:45,29.953,1.223,8/7/2016 20:00,4.0894
1,8/7/2016 23:59,2.007574347,1.211440652,0.649634593,26.62174178,0.146499102,0.15,6.61,8/7/2016 20:00,29.853,1.221,8/7/2016 20:15,4.0894
1,8/8/2016 0:29,2.006454188,1.227442177,0.637001239,26.62034295,0.142010772,0.13,6.6,8/7/2016 20:15,29.853,1.224,8/7/2016 20:30,4.0894
1,8/8/2016 0:59,2.02370355,1.241403034,0.669912724,26.80962847,0.112387792,0.44,6.66,8/7/2016 20:30,29.752,1.224,8/7/2016 20:45,4.0894
1,8/8/2016 1:29,2.107504862,1.236688322,0.761121746,27.3440743,0.109694794,0.48,6.65,8/7/2016 20:45,29.752,1.223,8/7/2016 21:00,4.0894
1,8/8/2016 1:59,2.102610683,1.249650952,0.750446266,27.30553813,0.102513465,0.52,6.66,8/7/2016 21:00,29.752,1.222,8/7/2016 21:15,4.0894
1,8/8/2016 2:29,2.033993035,1.239864991,0.674558924,26.90646364,0.11956912,0.26,6.59,8/7/2016 21:15,29.652,1.222,8/7/2016 21:30,4.0894
1,8/8/2016 2:59,2.053481776,1.255438303,0.713483329,27.00018039,0.084560144,0.2,6.51,8/7/2016 21:30,29.652,1.223,8/7/2016 21:45,4.0894
