Storm_1,HOBOTEMP_1,WL,ADJ WL_1,NUT_DATE/TIME,TDN_1,DON,NH4_1,DOC_1,NO3_1
8/2/16 11:45,29.552,0.227,0.227,8/2/16 12:29,2.656957217,2.043075282,0.484438488,43.7276731,0.129443447
8/2/16 12:00,28.357,0.316,0.316,8/2/16 12:59,2.425206989,1.903447352,0.437199493,42.63804181,0.084560144
8/2/16 12:15,28.159,0.35,0.35,8/2/16 13:29,2.283544361,1.78285391,0.383814329,42.18728917,0.116876122
8/2/16 12:30,28.06,0.368,0.368,8/2/16 13:59,2.288257724,1.81413571,0.38956187,42.0072475,0.084560144
8/2/16 12:45,27.961,0.383,0.383,8/2/16 14:29,2.358649134,1.842206123,0.419315542,42.0940316,0.097127469
8/2/16 13:00,27.862,0.394,0.394,8/2/16 14:59,2.281575582,1.770835799,0.393863661,41.57336216,0.116876122
8/2/16 13:15,27.862,0.4,0.4,8/2/16 15:29,2.263693869,1.792264616,0.386869109,42.17787766,0.084560144
8/2/16 13:30,27.862,0.408,0.408,8/2/16 15:59,2.258678946,1.783651058,0.389570078,42.12170195,0.08545781
8/2/16 13:45,27.862,0.413,0.413,8/2/16 16:29,2.209137046,1.775216243,0.349360659,41.00827128,0.084560144
8/2/16 14:00,27.862,0.415,0.415,8/2/16 16:59,2.220019525,1.821913058,0.313546323,40.77024448,0.084560144
8/2/16 14:15,27.961,0.422,0.422,8/2/16 17:29,2.346135952,1.750269342,0.445776843,44.14856672,0.150089767
8/2/16 14:30,27.961,0.424,0.424,8/2/16 17:59,3.21134477,1.219459218,0.478241028,44.05293608,1.513644524
8/2/16 14:45,28.06,0.427,0.427,8/2/16 18:29,2.854885645,1.847749059,0.551840356,43.39064242,0.45529623
8/2/16 15:00,28.06,0.431,0.431,8/2/16 18:59,3.163061424,1.972108462,0.565997845,41.84330425,0.624955117
8/2/16 15:15,28.06,0.432,0.432,8/2/16 19:29,2.908369224,1.724149262,0.517972206,40.52777375,0.666247756
8/2/16 15:30,28.159,0.434,0.434,8/2/16 19:59,2.747687095,1.54818788,0.528763129,38.18803465,0.670736086
8/2/16 15:45,28.159,0.437,0.437,8/2/16 20:29,2.713027794,1.609543774,0.42915727,33.71941475,0.67432675
8/2/16 16:00,28.258,0.44,0.44,8/2/16 20:59,2.64483644,1.517557387,0.498733272,35.29499568,0.628545781
8/2/16 16:15,28.258,0.441,0.441,8/2/16 21:29,2.57338379,1.475832941,0.493242052,35.2420368,0.604308797
8/2/16 16:30,28.258,0.442,0.442,8/2/16 21:59,2.403429057,1.350400289,0.489114944,35.79785155,0.563913824
8/2/16 16:45,28.258,0.447,0.447,8/2/16 22:29,2.265075572,1.300303605,0.441253116,36.02175951,0.523518851
8/2/16 17:00,28.258,0.447,0.447,8/2/16 22:59,2.21090519,1.346218161,0.421060458,35.98748023,0.443626571
8/2/16 17:15,28.258,0.449,0.449,8/2/16 23:29,2.124338178,1.296887604,0.413446983,36.20625006,0.414003591
8/2/16 17:30,28.258,0.498,0.498,8/2/16 23:59,2.104998641,1.323397125,0.414276561,36.31718319,0.367324955
8/2/16 17:45,28.357,0.613,0.613,8/3/16 0:29,2.105757737,1.454127487,0.316621273,35.573148,0.335008977
8/2/16 18:00,27.567,0.657,0.657,8/3/16 0:59,2.038226901,1.370578003,0.358672237,35.33519146,0.308976661
8/2/16 18:15,27.567,0.626,0.626,8/3/16 1:29,1.978784891,1.323228998,0.361839555,36.40002747,0.293716338
8/2/16 18:30,27.764,0.593,0.593,8/3/16 1:59,1.924324502,1.36785342,0.348033021,36.19128467,0.208438061
8/2/16 18:45,27.764,0.559,0.559,8/3/16 2:29,2.006237134,1.476134112,0.325255625,36.55744423,0.204847397
8/2/16 19:00,27.468,0.526,0.526,8/3/16 2:59,1.950420555,1.489276265,0.298487198,36.27539419,0.162657092
8/2/16 19:15,27.272,0.486,0.486,8/3/16 3:29,1.943622973,1.565753249,0.287923584,37.06153063,0.08994614
8/2/16 19:30,27.075,0.447,0.447,8/3/16 3:59,1.934980127,1.539406181,0.25446084,37.82010999,0.141113106
8/2/16 19:45,26.879,0.394,0.394,8/3/16 4:29,2.084603537,1.632847649,0.245113159,38.80463287,0.206642729
8/2/16 20:00,26.683,0.331,0.331,8/3/16 4:59,2.037449072,1.633257236,0.296292375,39.91009714,0.107899461
8/2/16 20:15,26.585,0.237,0.237,8/3/16 5:29,2.128637761,1.722383216,0.285787759,40.00953002,0.120466786
8/2/16 20:30,26.488,0.226,0.226,8/3/16 5:59,2.061439625,1.695488136,0.262540358,40.08706447,0.103411131
