DATE,ID,Weight Nitrif (g),Weight Nitrif (g),Weight Nitrif (g),Sample Moisture %,DM Wt Sample A,DM Wt Sample B,DM Wt Sample C,Nitrification a,Nitrification b,Nitrification c,ug NO2- mL-1,ug NO2- mL-1,ug NO2- mL-1,Sample A Nitrogen,Sample B Nitrogen,Sample C Nitrogen,Avg_Incubation N/DM,Control N/ DM,Avg assay NO2,Nitrification Potential,
(field),,sample a,sample b,sample c,%,g,g,g,520 nm reading,520 nm reading,520 nm reading,sample a,sample b,sample c,content (mg),content (mg),content (mg),mg_N/g DM,mg_N/g DM,mg_N/g DM,ng N*g-1 dm*5 h-1,
12/17/2017,Ag1,5.3300,5.2800,5.4600,0.266514806,3.9095,3.8728,4.0048,0.0610,0.0890,0.0420,-0.001,0.019,-0.014,-7.869E-07,1.924E-05,-1.438E-05,2.384E-06,-3.590E-06,5.974E-06,1.195,
12/17/2017,Ag2,5.3100,5.1000,5.4600,0.28203094,3.8124,3.6616,3.9201,0.0800,0.0650,0.0420,0.013,0.002,-0.014,1.280E-05,2.075E-06,-1.438E-05,1.963E-06,-3.668E-06,5.631E-06,1.126,
12/17/2017,Ag3,5.3100,5.3100,5.3600,0.242345034,4.0231,4.0231,4.0610,0.0530,0.2270,0.0550,-0.007,0.118,-0.005,-6.510E-06,1.180E-04,-5.079E-06,1.385E-05,-1.251E-06,1.510E-05,3.020,
12/17/2017,Ag4,5.2300,5.1900,5.2100,0.249585406,3.9247,3.8947,3.9097,0.0540,0.1440,0.0430,-0.006,0.059,-0.014,-5.794E-06,5.859E-05,-1.366E-05,6.783E-06,-3.495E-06,1.028E-05,2.056,
12/17/2017,Ag5,5.4600,5.2000,5.5100,0.185018727,4.4498,4.2379,4.4905,0.1160,0.0920,0.0430,0.039,0.021,-0.014,3.856E-05,2.139E-05,-1.366E-05,6.856E-06,-3.043E-06,9.899E-06,1.980,
12/17/2017,Ag6,5.4200,5.3400,5.4900,0.271685761,3.9475,3.8892,3.9984,0.1510,0.2080,0.0450,0.064,0.104,-0.012,6.360E-05,1.044E-04,-1.223E-05,2.147E-05,-3.059E-06,2.453E-05,4.907,
12/17/2017,Ag7,5.0500,5.0400,5.0800,0.238452873,3.8458,3.8382,3.8687,0.2410,0.1170,0.0420,0.128,0.039,-0.014,1.280E-04,3.927E-05,-1.438E-05,2.175E-05,-3.717E-06,2.547E-05,5.094,
12/17/2017,Ag8,5.1500,5.3000,5.1900,0.213912344,4.0484,4.1663,4.0798,0.1540,0.1660,0.0530,0.066,0.074,-0.007,6.574E-05,7.433E-05,-6.510E-06,1.704E-05,-1.596E-06,1.864E-05,3.727,
12/17/2017,Ag9,5.3900,5.4200,5.4800,0.233627667,4.1307,4.1537,4.1997,0.0650,0.1490,0.0470,0.002,0.062,-0.011,2.075E-06,6.216E-05,-1.080E-05,7.734E-06,-2.572E-06,1.031E-05,2.061,
